DateTime,Entries,UniqueIPs
1542168516,3882,3882
1542172118,3880,3880
1542175706,3882,3882
1542179325,3876,3876
1542182928,3865,3865
1542186516,3868,3868
1542190118,3863,3863
1542193715,3862,3862
1542197312,3845,3845
1542200910,3836,3836
1542204515,3835,3835
1542208112,3836,3836
1542211721,3836,3836
1542215327,3842,3842
1542218926,3843,3843
1542222529,3837,3837
1542226126,3840,3840
1542229726,3828,3828
1542233329,3824,3824
1542236931,3828,3828
1542240522,3824,3824
1542244124,3823,3823
1542247722,3814,3814
1542251322,3807,3807
1542254919,3798,3798
1542258523,3790,3790
1542262124,3797,3797
1542265724,3822,3822
1542272931,3818,3818
1542276530,3814,3814
1542280133,3805,3805
1542283721,3807,3807
1542287332,3806,3806
1542290926,3805,3805
1542294525,3813,3813
1542298124,3806,3806
1542301727,3798,3798
1542305320,3795,3795
1542308928,3790,3790
1542312534,3793,3793
1542316120,3793,3793
1542319717,3790,3790
1542323318,3786,3786
1542326926,3783,3783
1542330518,3782,3782
1542334121,3776,3776
1542337792,3780,3780
1542341380,3790,3790
1542344998,3800,3800
1542348585,3795,3795
1542352164,3779,3779
1542355763,3771,3771
1542359335,3762,3762
1542362934,3774,3774
1542366524,3788,3788
1542370165,3792,3792
1542373723,3800,3800
1542377326,3792,3792
1542380906,3787,3787
1542384515,3817,3817
1542388120,3821,3821
1542391712,3823,3823
1542395318,3834,3834
1542398937,3792,3792
1542402520,3782,3782
1542406114,3774,3774
1542409712,3765,3765
1542413313,3771,3771
1542416918,3791,3791
1542420518,3792,3792
1542424110,3794,3794
1542427715,3791,3791
1542431324,3779,3779
1542434925,3779,3779
1542438539,3778,3778
1542442128,3781,3781
1542445725,3783,3783
1542449324,3773,3773
1542452920,3764,3764
1542456519,3761,3761
1542460113,3770,3770
1542463709,3782,3782
1542467309,3813,3813
1542470917,3819,3819
1542474519,3809,3809
1542478120,3798,3798
1542481726,3794,3794
1542485321,3800,3800
1542488925,3799,3799
1542492532,3802,3802
1542496128,3808,3808
1542499722,3791,3791
1542503325,3788,3788
1542506922,3780,3780
1542510518,3790,3790
1542514120,3783,3783
1542517728,3780,3780
1542521337,3784,3784
1542524925,3769,3769
1542528524,3769,3769
1542532121,3760,3760
1542535730,3765,3765
1542539326,3763,3763
1542542926,3762,3762
1542546524,3755,3755
1542550133,3718,3718
1542553721,3695,3695
1542557318,3679,3679
1542560922,3681,3681
1542564531,3688,3688
1542568129,3678,3678
1542571752,3970,3970
1542575356,3970,3970
1542578955,3968,3968
1542582551,3967,3967
1542586143,3963,3963
1542589745,3968,3968
1542593336,3957,3957
1542596945,3948,3948
1542600543,3931,3931
1542604139,3928,3928
1542607741,3916,3916
1542611338,3915,3915
1542614950,3916,3916
1542618542,3912,3912
1542622142,3941,3941
1542625736,3927,3927
1542629340,3919,3919
1542632930,3880,3880
1542636551,3880,3880
1542640133,3879,3879
1542643749,3871,3871
1542647325,3868,3868
1542650946,3857,3857
1542654533,3846,3846
1542658134,3836,3836
1542661738,3840,3840
1542665326,3851,3851
1542668930,3842,3842
1542672523,3846,3846
1542676126,3845,3845
1542679725,3828,3828
1542683312,3818,3818
1542686918,3806,3806
1542690520,3808,3808
1542694124,3815,3815
1542697720,3809,3809
1542701320,3781,3781
1542704918,3758,3758
1542708519,3735,3735
1542712112,3713,3713
1542715715,3691,3691
1542719305,3653,3653
1542722908,3612,3612
1542726508,3578,3578
1542730111,3561,3561
1542733706,3561,3561
1542737309,3570,3570
1542740910,3575,3575
1542744524,3570,3570
1542748129,3576,3576
1542751726,3549,3549
1542755327,3546,3546
1542758924,3533,3533
1542762523,3527,3527
1542766123,3538,3538
1542769724,3537,3537
1542773320,3538,3538
1542776909,3535,3535
1542780509,3532,3532
1542784102,3528,3528
1542787696,3523,3523
1542791303,3520,3520
1542794901,3516,3516
1542798504,3526,3526
1542802116,3526,3526
1542805712,3518,3518
1542809310,3512,3512
1542812910,3511,3511
1542816509,3513,3513
1542820108,3507,3507
1542823709,3507,3507
1542827306,3513,3513
1542830911,3506,3506
1542834515,3507,3507
1542838118,3508,3508
1542841720,3504,3504
1542845323,3508,3508
1542848926,3497,3497
1542852518,3487,3487
1542856123,3477,3477
1542859717,3468,3468
1542863318,3472,3472
1542866929,3459,3459
1542870516,3423,3423
1542874114,3410,3410
1542877710,3406,3406
1542881314,3397,3397
1542884895,3402,3402
1542888505,3403,3403
1542892103,3403,3403
1542895706,3399,3399
1542899303,3396,3396
1542902899,3392,3392
1542906508,3386,3386
1542910108,3383,3383
1542913708,3388,3388
1542917313,3396,3396
1542920911,3379,3379
1542924505,3375,3375
1542928107,3374,3374
1542931707,3378,3378
1542935306,3372,3372
1542938908,3373,3373
1542942509,3378,3378
1542946112,3361,3361
1542949705,3353,3353
1542953299,3346,3346
1542956884,3353,3353
1542960516,3409,3409
1542964113,3475,3475
1542967721,3471,3471
1542971314,3463,3463
1542974907,3467,3467
1542978516,3455,3455
1542982112,3459,3459
1542985720,3468,3468
1542989317,3434,3434
1542992923,3434,3434
1542996531,3430,3430
1543000128,3421,3421
1543003729,3408,3408
1543007323,3414,3414
1543010928,3416,3416
1543014532,3420,3420
1543018128,3413,3413
1543021725,3418,3418
1543025322,3452,3452
1543028924,3471,3471
1543032520,3477,3477
1543036111,3487,3487
1543039714,3482,3482
1543043323,3494,3494
1543046924,3487,3487
1543050515,3480,3480
1543054121,3551,3551
1543057744,3584,3584
